SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
165,Solana,SOL,01-02-2021 23:59,461160184,411825506,426125135,461160184,3936162864,1.21E+11
166,Solana,SOL,02-02-2021 23:59,540364154,448011942,46137412,52675076,987559618,1.38E+11
167,Solana,SOL,03-02-2021 23:59,578078094,507273844,524659151,571598986,4938632692,1.50E+11
168,Solana,SOL,04-02-2021 23:59,653101104,560323641,57317481,642606479,10824948151,1.68E+11
169,Solana,SOL,05-02-2021 23:59,712711657,642644747,643536976,66817203,9289215708,1.75E+11
170,Solana,SOL,06-02-2021 23:59,679913067,571382828,668730089,611080668,10236549354,1.60E+11
171,Solana,SOL,07-02-2021 23:59,687151352,576859219,611764462,670046276,10545110252,1.75E+11
172,Solana,SOL,08-02-2021 23:59,805593329,64889284,670244728,78832496,15525426078,2.06E+11
173,Solana,SOL,09-02-2021 23:59,846778443,757021459,78697953,781679279,12103787269,2.05E+11
174,Solana,SOL,10-02-2021 23:59,907260413,761384712,78185524,907221406,12067990164,23760141060
175,Solana,SOL,11-02-2021 23:59,970700402,876131606,908035651,921535212,5360004753,2.41E+11
176,Solana,SOL,12-02-2021 23:59,992445233,907901215,921479001,924701198,9148466366,2.42E+11
177,Solana,SOL,13-02-2021 23:59,949903879,868300856,923603303,873245491,9141796769,2.29E+11
178,Solana,SOL,14-02-2021 23:59,92203002,85597149,874298943,873889575,9350042271,2.29E+11
179,Solana,SOL,15-02-2021 23:59,931063831,784047064,872426582,88617388,10985463459,2.32E+11
180,Solana,SOL,16-02-2021 23:59,898036803,798355724,886074792,829786719,7162520452,2.17E+11
181,Solana,SOL,17-02-2021 23:59,843329825,754439928,829868913,822257719,8994857767,2.15E+11
182,Solana,SOL,18-02-2021 23:59,927917537,823287085,823287085,898045215,773067704,2.35E+11
183,Solana,SOL,19-02-2021 23:59,1168057695,85569807,897997007,1146565287,26117571073,3.00E+11
184,Solana,SOL,20-02-2021 23:59,1178673714,981585439,1147808705,1000266398,14026480998,2.62E+11
185,Solana,SOL,21-02-2021 23:59,1164028854,988704665,998755024,1108551283,13774236613,2.90E+11
186,Solana,SOL,22-02-2021 23:59,145456406,925590402,1107303597,1445478487,57413624077,3.79E+11
187,Solana,SOL,23-02-2021 23:59,1574337116,1159989436,1442162567,1520153822,48525284629,3.98E+11
188,Solana,SOL,24-02-2021 23:59,1814662172,1486179947,152138421,1730270709,37543970661,45315813567
189,Solana,SOL,25-02-2021 23:59,1769544462,1379591349,1723018337,1381601413,36450527574,3.62E+11
190,Solana,SOL,26-02-2021 23:59,1548370533,1312014142,1386589069,1358794089,28968732845,3.56E+11
191,Solana,SOL,27-02-2021 23:59,146120646,130572728,1360157446,1320116764,24764093978,3.46E+11
192,Solana,SOL,28-02-2021 23:59,1377901631,1148998276,1320776666,1308924694,30049322601,3.43E+11
193,Solana,SOL,01-03-2021 23:59,1551605721,1305738542,1310843535,1495558764,30645169303,3.92E+11
194,Solana,SOL,02-03-2021 23:59,1522412493,1346074941,1496684488,1395892139,1785498515,3.66E+11
195,Solana,SOL,03-03-2021 23:59,1472935857,1376704854,1396353988,1411559058,15383074214,3.70E+11
196,Solana,SOL,04-03-2021 23:59,1426036093,1277126993,1409486709,1309798332,11636446582,3.43E+11
197,Solana,SOL,05-03-2021 23:59,1307986249,1218460827,1306630579,1261044281,9097840801,3.30E+11
198,Solana,SOL,06-03-2021 23:59,1327048096,1190122772,1256993741,1303645795,1188515461,3.41E+11
199,Solana,SOL,07-03-2021 23:59,1399690288,1272638542,1304392705,1387773227,11754817621,3.63E+11
200,Solana,SOL,08-03-2021 23:59,1387082582,1308228903,138268153,1360218776,11552565869,3.56E+11
201,Solana,SOL,09-03-2021 23:59,1498644427,1332018701,1361529099,1484631098,13486704368,3.95E+11
202,Solana,SOL,10-03-2021 23:59,1518793776,1407906427,1485092886,1423108356,10315090084,3.79E+11
203,Solana,SOL,11-03-2021 23:59,1623939925,1370422614,1421983747,1599227934,2292725156,4.27E+11
204,Solana,SOL,12-03-2021 23:59,1648579592,1411122934,1602091887,14552142,18528745696,3.89E+11
